k_size,usable_reads,false_positive_rate,uniformity_cv,avg_marker_count,specificity_score,read_retention_score,specificity_norm,uniformity_score,availability_score,overall_score,rank
21,81.10282326457516,0.16270689252546572,38.030840374804114,1756428.55,83.72931074745343,100.0,0.0,0.0,0.0,70.0,1.0
25,77.93167822812609,0.15270226499639206,35.78119187199343,2025001.5,84.72977350036079,78.51314692713305,18.369689998554318,28.9814224669036,23.56717791650604,61.26057086787448,2.0
31,73.35766715905756,0.13481414908788145,33.24504205171526,2378600.4,86.51858509121186,47.5208388916753,51.21440540076511,61.653739626233886,54.59535177906676,49.31992287459076,3.0
35,70.47408190992337,0.12264538511683169,31.911687046242196,2594793.45,87.73546148831683,27.982416063619425,73.55770815383204,78.83087848312456,73.56621267053812,41.91908743298314,4.0
41,66.3442868437462,0.10824420137574561,30.268459127369642,2896034.45,89.17557986242544,0.0,100.0,100.0,100.0,30.0,5.0
